CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11021,MS.,DESTINY,WILSON,03-09-1978,S,F,destiny.wilsonnobethanalytics.com,40000,0,Partial College,Skilled Manual,N
11022,MR.,ETHAN,ZHANG,12-10-1978,M,M,ethan.zhangnobethanalytics.com,40000,0,Partial College,Skilled Manual,Y
11023,MR.,SETH,EDWARDS,11-10-1978,M,M,seth.edwardsnobethanalytics.com,40000,0,Partial College,Skilled Manual,Y
11024,MR.,RUSSELL,XIE,17-09-1978,M,M,russell.xienobethanalytics.com,60000,0,Partial College,Skilled Manual,Y
11025,,ALEJANDRO,BECK,23-12-1945,M,NA,alejandro.becknobethanalytics.com,10000,2,Partial High School,Clerical,Y
11026,MR.,HAROLD,SAI,03-04-1946,S,M,harold.sainobethanalytics.com,30000,2,Partial College,Clerical,N
11027,MR.,JESSIE,ZHAO,07-12-1946,M,M,jessie.zhaonobethanalytics.com,30000,2,Partial College,Clerical,Y
11028,MRS.,JILL,JIMENEZ,11-04-1946,M,F,jill.jimeneznobethanalytics.com,30000,2,Partial College,Clerical,Y
11029,MR.,JIMMY,MORENO,21-12-1946,M,M,jimmy.morenonobethanalytics.com,30000,2,Partial College,Clerical,Y
11030,MRS.,BETHANY,YUAN,22-02-1947,M,F,bethany.yuannobethanalytics.com,10000,2,Partial High School,Clerical,Y
11031,MRS.,THERESA,RAMOS,22-08-1947,M,F,theresa.ramosnobethanalytics.com,20000,4,High School,Skilled Manual,Y
11032,MRS.,DENISE,STONE,11-06-1947,M,F,denise.stonenobethanalytics.com,20000,4,High School,Skilled Manual,Y
11033,MR.,JAIME,NATH,23-09-1947,M,M,jaime.nathnobethanalytics.com,20000,4,High School,Skilled Manual,Y
11034,MRS.,EBONY,GONZALEZ,19-06-1947,M,F,ebony.gonzaleznobethanalytics.com,20000,4,High School,Skilled Manual,Y
11035,,WENDY,DOMINGUEZ,24-02-1948,M,NA,wendy.domingueznobethanalytics.com,10000,2,Partial High School,Clerical,Y
11036,MS.,JENNIFER,RUSSELL,18-12-1978,M,F,jennifer.russellnobethanalytics.com,60000,0,Partial College,Skilled Manual,Y
11037,MS.,CHLOE,GARCIA,27-11-1977,S,F,chloe.garcianobethanalytics.com,40000,0,Partial High School,Clerical,N
11038,MRS.,DIANA,HERNANDEZ,23-03-1948,M,F,diana.hernandeznobethanalytics.com,10000,2,Partial High School,Clerical,Y
11039,MR.,MARC,MARTIN,17-12-1948,M,M,marc.martinnobethanalytics.com,30000,3,Partial College,Clerical,Y
11040,MR.,JESSE,MURPHY,01-08-1977,M,M,jesse.murphynobethanalytics.com,30000,0,Partial College,Skilled Manual,Y
11041,MS.,AMANDA,CARTER,16-10-1977,M,F,amanda.carternobethanalytics.com,60000,0,Partial College,Skilled Manual,Y
11042,MS.,MEGAN,SANCHEZ,13-06-1977,M,F,megan.sancheznobethanalytics.com,70000,0,Partial College,Skilled Manual,Y
11043,MR.,NATHAN,SIMMONS,24-02-1976,M,M,nathan.simmonsnobethanalytics.com,60000,0,Partial College,Skilled Manual,Y
11044,MR.,ADAM,FLORES,24-05-1949,M,M,adam.floresnobethanalytics.com,20000,2,Partial High School,Clerical,Y
11045,MR.,LEONARD,NARA,19-05-1950,S,M,leonard.naranobethanalytics.com,30000,3,High School,Skilled Manual,N
11046,MRS.,CHRISTINE,YUAN,22-03-1950,M,F,christine.yuannobethanalytics.com,30000,3,High School,Skilled Manual,Y
11047,MRS.,JACLYN,LU,27-02-1950,M,F,jaclyn.lunobethanalytics.com,30000,3,High School,Skilled Manual,N
11048,MR.,JEREMY,POWELL,22-11-1950,M,M,jeremy.powellnobethanalytics.com,30000,3,High School,Skilled Manual,Y
11049,MS.,CAROL,RAI,18-07-1980,S,F,carol.rainobethanalytics.com,40000,0,Partial High School,Clerical,Y
11050,MR.,ALAN,ZHENG,07-09-1951,M,M,alan.zhengnobethanalytics.com,30000,3,High School,Skilled Manual,Y
11051,MR.,DANIEL,JOHNSON,04-08-1951,S,M,daniel.johnsonnobethanalytics.com,30000,3,High School,Skilled Manual,N
11052,MRS.,HEIDI,LOPEZ,07-08-1951,S,F,heidi.lopeznobethanalytics.com,40000,2,Partial College,Clerical,N
11053,MS.,ANA,PRICE,20-08-1980,M,F,ana.pricenobethanalytics.com,60000,0,Partial College,Skilled Manual,N
11054,MRS.,DEANNA,MUNOZ,10-03-1952,M,F,deanna.munoznobethanalytics.com,40000,2,Partial College,Skilled Manual,Y
11055,MR.,GILBERT,RAJE,05-03-1952,M,M,gilbert.rajenobethanalytics.com,40000,2,Partial College,Skilled Manual,Y
11056,MRS.,MICHELE,NATH,03-04-1953,M,F,michele.nathnobethanalytics.com,40000,3,Partial College,Skilled Manual,Y
11057,MR.,CARL,ANDERSEN,12-10-1953,M,M,carl.andersennobethanalytics.com,70000,2,Graduate Degree,Management,Y
11058,MR.,MARC,DIAZ,27-04-1954,M,M,marc.diaznobethanalytics.com,80000,2,Partial College,Skilled Manual,Y
11059,MRS.,ASHLEE,ANDERSEN,01-04-1954,S,F,ashlee.andersennobethanalytics.com,80000,2,Partial College,Skilled Manual,Y
11060,MR.,JON,ZHOU,17-03-1954,M,M,jon.zhounobethanalytics.com,80000,2,Partial College,Skilled Manual,Y
11061,MR.,TODD,GAO,27-02-1954,M,M,todd.gaonobethanalytics.com,80000,2,Partial College,Skilled Manual,Y
11062,MR.,NOAH,POWELL,02-09-1975,M,M,noah.powellnobethanalytics.com,40000,0,High School,Skilled Manual,Y
11063,MS.,ANGELA,MURPHY,07-04-1975,S,F,angela.murphynobethanalytics.com,40000,0,High School,Skilled Manual,Y
11064,MR.,CHASE,REED,07-12-1975,M,M,chase.reednobethanalytics.com,40000,0,High School,Skilled Manual,Y
11065,MS.,JESSICA,HENDERSON,09-10-1973,M,F,jessica.hendersonnobethanalytics.com,60000,0,Partial College,Skilled Manual,N
11066,MS.,GRACE,BUTLER,27-11-1973,M,F,grace.butlernobethanalytics.com,70000,0,Partial College,Professional,Y
11067,MR.,CALEB,CARTER,25-09-1976,S,M,caleb.carternobethanalytics.com,60000,0,Partial College,Professional,Y
11068,MRS.,TIFFANY,LIANG,23-09-1955,S,F,tiffany.liangnobethanalytics.com,80000,2,High School,Skilled Manual,Y
11069,MRS.,CAROLYN,NAVARRO,21-09-1955,S,F,carolyn.navarronobethanalytics.com,80000,2,High School,Skilled Manual,N
11070,MR.,WILLIE,RAJI,05-04-1955,M,M,willie.rajinobethanalytics.com,80000,2,High School,Skilled Manual,Y
11071,MRS.,LINDA,SERRANO,26-06-1955,S,F,linda.serranonobethanalytics.com,80000,2,High School,Skilled Manual,Y
11072,MRS.,CASEY,LUO,06-02-1955,S,F,casey.luonobethanalytics.com,80000,2,High School,Skilled Manual,N
11073,MRS.,AMY,YE,14-08-1956,S,F,amy.yenobethanalytics.com,70000,2,High School,Skilled Manual,Y
11074,MR.,LEVI,ARUN,28-08-1956,S,M,levi.arunnobethanalytics.com,70000,2,High School,Skilled Manual,Y
11075,MRS.,FELICIA,JIMENEZ,16-11-1957,S,F,felicia.jimeneznobethanalytics.com,80000,2,High School,Professional,Y
11076,MR.,BLAKE,ANDERSON,13-07-1957,S,M,blake.andersonnobethanalytics.com,80000,2,High School,Professional,Y
11077,MRS.,LEAH,YE,19-09-1957,S,F,leah.yenobethanalytics.com,80000,2,High School,Professional,N
11078,MS.,GINA,MARTIN,10-01-1974,S,F,gina.martinnobethanalytics.com,40000,0,High School,Professional,N
11079,MR.,DONALD,GONZALEZ,11-03-1959,S,M,donald.gonzaleznobethanalytics.com,160000,0,Graduate Degree,Management,Y
11080,MR.,DAMIEN,CHANDER,17-07-1959,M,M,damien.chandernobethanalytics.com,170000,0,Graduate Degree,Management,Y
11081,MRS.,SAVANNAH,BAKER,24-07-1966,M,F,savannah.bakernobethanalytics.com,120000,2,Bachelors,Management,Y
11082,,ANGELA,BUTLER,04-08-1966,S,NA,angela.butlernobethanalytics.com,130000,0,Graduate Degree,Management,N
11083,MS.,ALYSSA,COX,15-03-1966,M,F,alyssa.coxnobethanalytics.com,130000,0,Graduate Degree,Management,Y
11084,MR.,LUCAS,PHILLIPS,12-09-1957,S,M,lucas.phillipsnobethanalytics.com,80000,2,Partial High School,Skilled Manual,N
11085,MRS.,EMILY,JOHNSON,19-07-1957,S,F,emily.johnsonnobethanalytics.com,60000,2,High School,Professional,N
11086,MR.,RYAN,BROWN,23-12-1957,M,M,ryan.brownnobethanalytics.com,70000,2,Partial College,Professional,Y
11087,MRS.,TAMARA,LIANG,03-10-1957,M,F,tamara.liangnobethanalytics.com,70000,3,Partial College,Professional,N
11089,MRS.,ABIGAIL,PRICE,05-02-1957,S,F,abigail.pricenobethanalytics.com,80000,2,Bachelors,Management,Y
11090,MR.,TREVOR,BRYANT,17-12-1957,S,M,trevor.bryantnobethanalytics.com,90000,2,Partial College,Professional,Y
11091,MR.,DALTON,PEREZ,04-04-1957,M,M,dalton.pereznobethanalytics.com,90000,2,Partial College,Professional,Y
11092,MRS.,CHERYL,DIAZ,06-05-1967,M,F,cheryl.diaznobethanalytics.com,90000,2,Bachelors,Professional,Y
11093,MS.,AIMEE,HE,10-09-1967,M,F,aimee.henobethanalytics.com,100000,0,Graduate Degree,Management,Y
11094,MR.,CEDRIC,MA,01-04-1962,S,M,cedric.manobethanalytics.com,70000,1,Partial College,Skilled Manual,N
11095,MR.,CHAD,KUMAR,01-09-1962,S,M,chad.kumarnobethanalytics.com,70000,1,Partial College,Skilled Manual,Y
11096,MR.,ANDRÉS,ANAND,10-08-1962,M,M,andrés.anandnobethanalytics.com,60000,1,Bachelors,Professional,Y
11097,MR.,EDWIN,NARA,27-10-1961,M,M,edwin.naranobethanalytics.com,60000,1,Partial College,Skilled Manual,Y
11098,MRS.,MALLORY,RUBIO,01-05-1961,S,F,mallory.rubionobethanalytics.com,60000,1,Partial College,Skilled Manual,N
11099,MR.,ADAM,ROSS,08-03-1961,M,M,adam.rossnobethanalytics.com,60000,1,Bachelors,Professional,Y
11100,MRS.,LATASHA,NAVARRO,15-09-1960,S,F,latasha.navarronobethanalytics.com,60000,1,Partial College,Skilled Manual,Y
11101,MS.,ABBY,SAI,08-05-1965,S,F,abby.sainobethanalytics.com,70000,0,Bachelors,Professional,N
11102,MRS.,JULIA,NELSON,21-04-1965,S,F,julia.nelsonnobethanalytics.com,80000,5,Bachelors,Professional,Y
11103,MS.,CASSIE,CHANDE,17-10-1964,S,F,cassie.chandenobethanalytics.com,70000,0,Bachelors,Professional,Y
11104,MR.,EDGAR,SARA,11-03-1964,M,M,edgar.saranobethanalytics.com,70000,0,Bachelors,Professional,N
11105,MS.,CANDACE,FERNANDEZ,28-12-1964,S,F,candace.fernandeznobethanalytics.com,70000,0,Bachelors,Professional,N
11106,MR.,JESSIE,LIU,11-09-1964,S,M,jessie.liunobethanalytics.com,70000,0,Bachelors,Professional,N
11107,MRS.,BIANCA,LIN,09-09-1959,M,F,bianca.linnobethanalytics.com,90000,1,Bachelors,Professional,Y
11108,MS.,KARI,ALVAREZ,14-07-1963,S,F,kari.alvareznobethanalytics.com,70000,0,Bachelors,Professional,N
11109,MR.,RUBEN,KAPOOR,05-11-1963,S,M,ruben.kapoornobethanalytics.com,70000,0,Bachelors,Professional,N
11110,MR.,CURTIS,YANG,06-06-1962,M,M,curtis.yangnobethanalytics.com,60000,1,Partial College,Skilled Manual,Y
11111,MRS.,MEREDITH,GUTIERREZ,23-02-1962,M,F,meredith.gutierreznobethanalytics.com,60000,1,Partial College,Skilled Manual,Y
11112,MRS.,CRYSTAL,WANG,09-09-1962,M,F,crystal.wangnobethanalytics.com,60000,1,Partial College,Skilled Manual,Y
11113,MR.,MICHEAL,BLANCO,21-02-1962,M,M,micheal.blanconobethanalytics.com,70000,5,Bachelors,Professional,Y
11114,MRS.,LESLIE,MORENO,28-05-1962,S,F,leslie.morenonobethanalytics.com,70000,5,Partial College,Skilled Manual,Y
11115,MR.,ALVIN,CAI,12-02-1962,M,M,alvin.cainobethanalytics.com,70000,5,Partial College,Skilled Manual,Y
11116,MR.,CLINTON,CARLSON,07-10-1962,M,M,clinton.carlsonnobethanalytics.com,70000,5,Partial College,Skilled Manual,Y
11117,MRS.,APRIL,DENG,21-02-1961,M,F,april.dengnobethanalytics.com,70000,5,Partial College,Skilled Manual,Y
11118,MR.,ALVIN,ZENG,03-07-1957,S,M,alvin.zengnobethanalytics.com,80000,1,Partial College,Skilled Manual,N
11119,MR.,EVAN,JAMES,10-04-1935,S,M,evan.jamesnobethanalytics.com,30000,2,Partial College,Clerical,N
11121,MR.,ORLANDO,SUAREZ,18-11-1960,M,M,orlando.suareznobethanalytics.com,70000,5,Partial College,Skilled Manual,Y
11122,MR.,BYRON,VAZQUEZ,02-04-1960,M,M,byron.vazqueznobethanalytics.com,70000,5,Partial College,Skilled Manual,Y
11123,MR.,PHILIP,ALVAREZ,20-06-1960,M,M,philip.alvareznobethanalytics.com,70000,5,Partial College,Skilled Manual,Y
11124,MR.,ROSS,JORDAN,27-07-1957,S,M,ross.jordannobethanalytics.com,80000,1,Partial College,Skilled Manual,Y
11125,MRS.,DANA,NAVARRO,08-04-1956,S,F,dana.navarronobethanalytics.com,70000,1,Partial College,Skilled Manual,Y
11126,MR.,SHAUN,CARSON,07-04-1949,M,M,shaun.carsonnobethanalytics.com,10000,2,High School,Skilled Manual,N
11127,MS.,JAN,EDWARDS,21-10-1975,M,F,jan.edwardsnobethanalytics.com,40000,0,High School,Skilled Manual,Y
11128,MS.,SAMANTHA,LONG,05-12-1975,M,F,samantha.longnobethanalytics.com,40000,0,High School,Skilled Manual,Y
11129,MS.,JULIA,WRIGHT,05-08-1975,S,F,julia.wrightnobethanalytics.com,40000,0,High School,Skilled Manual,Y
11130,MS.,CAROLINE,RUSSELL,06-01-1980,M,F,caroline.russellnobethanalytics.com,30000,0,High School,Skilled Manual,Y
11131,MS.,AMANDA,RIVERA,12-03-1980,M,F,amanda.riveranobethanalytics.com,30000,0,High School,Skilled Manual,N
11132,MS.,MELISSA,RICHARDSON,26-10-1980,S,F,melissa.richardsonnobethanalytics.com,30000,0,High School,Skilled Manual,N
11133,MS.,ANGELA,GRIFFIN,08-09-1980,S,F,angela.griffinnobethanalytics.com,30000,0,Partial High School,Clerical,N
11134,MR.,LARRY,TOWNSEND,26-02-1946,S,M,larry.townsendnobethanalytics.com,10000,5,High School,Skilled Manual,Y
11135,MR.,MARCUS,HARRIS,03-11-1979,S,M,marcus.harrisnobethanalytics.com,30000,0,Partial High School,Clerical,N
11136,MS.,BRIANNA,MORGAN,26-10-1978,S,F,brianna.morgannobethanalytics.com,40000,0,High School,Skilled Manual,N
11137,MS.,JASMINE,TAYLOR,20-07-1978,M,F,jasmine.taylornobethanalytics.com,40000,0,High School,Skilled Manual,Y
11138,MS.,LAUREN,DAVIS,15-09-1978,M,F,lauren.davisnobethanalytics.com,40000,0,High School,Skilled Manual,N
11139,MRS.,TANYA,MORENO,09-11-1938,S,F,tanya.morenonobethanalytics.com,30000,2,Partial College,Clerical,N
11140,MR.,JAVIER,ALVAREZ,11-02-1977,S,M,javier.alvareznobethanalytics.com,30000,0,Partial High School,Clerical,N
11141,MS.,NICOLE,RAMIREZ,21-06-1977,M,F,nicole.ramireznobethanalytics.com,40000,0,High School,Skilled Manual,N
11142,MR.,EDUARDO,PATTERSON,14-08-1977,S,M,eduardo.pattersonnobethanalytics.com,40000,0,High School,Skilled Manual,N
11143,MR.,JONATHAN,HENDERSON,04-02-1977,M,M,jonathan.hendersonnobethanalytics.com,40000,0,High School,Skilled Manual,Y
11144,MR.,EDWARD,HERNANDEZ,09-09-1979,S,M,edward.hernandeznobethanalytics.com,40000,0,High School,Skilled Manual,N
11145,MS.,JASMINE,COLEMAN,08-12-1979,S,F,jasmine.colemannobethanalytics.com,40000,0,High School,Skilled Manual,N
11146,MRS.,KARLA,GOEL,26-08-1939,S,F,karla.goelnobethanalytics.com,40000,2,Bachelors,Management,Y
11147,MR.,ERNEST,WU,05-02-1939,M,M,ernest.wunobethanalytics.com,60000,2,Graduate Degree,Management,Y
11148,MR.,ROSS,VAZQUEZ,16-08-1941,M,M,ross.vazqueznobethanalytics.com,40000,2,Bachelors,Management,Y
11149,MR.,THEODORE,GILL,20-04-1941,M,M,theodore.gillnobethanalytics.com,40000,2,Bachelors,Management,Y
11150,MR.,RUSSELL,SHEN,15-03-1941,S,M,russell.shennobethanalytics.com,40000,2,Bachelors,Management,Y
11151,MRS.,MELINDA,GILL,25-02-1942,S,F,melinda.gillnobethanalytics.com,60000,2,Graduate Degree,Management,N
11152,MR.,JAMES,WILLIAMS,10-01-1976,S,M,james.williamsnobethanalytics.com,40000,0,High School,Skilled Manual,Y
11153,MS.,ANGELA,JAMES,23-06-1976,M,F,angela.jamesnobethanalytics.com,40000,0,High School,Skilled Manual,Y
11154,MS.,MEGAN,WALKER,21-08-1976,S,F,megan.walkernobethanalytics.com,40000,0,Partial College,Skilled Manual,Y
11155,MR.,HUNTER,ROBINSON,26-01-1976,S,M,hunter.robinsonnobethanalytics.com,40000,0,Partial College,Skilled Manual,N
11156,MS.,MARIA,ROBERTS,07-02-1976,S,F,maria.robertsnobethanalytics.com,40000,0,Partial College,Skilled Manual,N
11157,MS.,HANNAH,LONG,11-06-1975,M,F,hannah.longnobethanalytics.com,40000,0,High School,Skilled Manual,Y
11158,MR.,JASON,WRIGHT,08-10-1975,S,M,jason.wrightnobethanalytics.com,40000,0,High School,Skilled Manual,Y
11159,MS.,BRIANNA,HUGHES,17-09-1975,S,F,brianna.hughesnobethanalytics.com,40000,0,High School,Skilled Manual,N
11160,MR.,MAURICE,TANG,08-01-1974,S,M,maurice.tangnobethanalytics.com,40000,0,Partial College,Skilled Manual,N
11161,MS.,EMILY,WOOD,22-04-1974,S,F,emily.woodnobethanalytics.com,40000,0,Partial College,Skilled Manual,N
11162,MR.,CHASE,COX,05-03-1974,S,M,chase.coxnobethanalytics.com,40000,0,Partial College,Skilled Manual,Y
11163,MR.,GABRIEL,WANG,20-12-1974,M,M,gabriel.wangnobethanalytics.com,40000,0,Partial College,Skilled Manual,Y
11164,MR.,DEVIN,BROOKS,05-05-1974,S,M,devin.brooksnobethanalytics.com,40000,0,Partial College,Skilled Manual,N
11165,MS.,JOCELYN,ALEXANDER,18-07-1973,M,F,jocelyn.alexandernobethanalytics.com,60000,0,Partial College,Skilled Manual,N
11166,MS.,ASHLEY,MARTINEZ,24-04-1972,S,F,ashley.martineznobethanalytics.com,70000,0,Partial College,Skilled Manual,N
11167,MS.,JASMINE,BARNES,01-08-1972,S,F,jasmine.barnesnobethanalytics.com,80000,0,Bachelors,Management,N
11168,MR.,DAVID,RODRIGUEZ,15-05-1968,S,M,david.rodrigueznobethanalytics.com,80000,0,Bachelors,Management,N
11169,MR.,BRYCE,RICHARDSON,22-06-1968,M,M,bryce.richardsonnobethanalytics.com,90000,4,Bachelors,Management,Y
11170,MRS.,CAROL,HOWARD,05-02-1968,M,F,carol.howardnobethanalytics.com,90000,4,Bachelors,Management,Y
11171,MR.,JONATHAN,HILL,09-10-1967,S,M,jonathan.hillnobethanalytics.com,100000,1,Bachelors,Management,Y
11172,MRS.,GABRIELLE,ADAMS,21-11-1967,M,F,gabrielle.adamsnobethanalytics.com,100000,1,Bachelors,Management,Y
11173,MS.,SARAH,THOMAS,01-09-1967,S,F,sarah.thomasnobethanalytics.com,110000,0,Graduate Degree,Management,N
11174,MR.,NICHOLAS,ROBINSON,13-07-1967,M,M,nicholas.robinsonnobethanalytics.com,110000,0,Graduate Degree,Management,Y
11175,MR.,LUIS,WANG,05-03-1963,S,M,luis.wangnobethanalytics.com,70000,0,Partial College,Skilled Manual,Y
11176,MR.,MASON,ROBERTS,25-01-1968,M,M,mason.robertsnobethanalytics.com,90000,4,Bachelors,Management,Y
11177,MR.,JOSE,FLORES,04-07-1942,M,M,jose.floresnobethanalytics.com,110000,2,Graduate Degree,Management,Y
11178,MR.,NATHAN,JOHNSON,24-08-1943,M,M,nathan.johnsonnobethanalytics.com,100000,2,Graduate Degree,Management,Y
11179,MRS.,MOLLY,RODRIGUEZ,14-06-1943,M,F,molly.rodrigueznobethanalytics.com,120000,2,Graduate Degree,Management,Y
11180,MRS.,APRIL,ANAND,02-01-1943,M,F,april.anandnobethanalytics.com,160000,1,Bachelors,Management,Y
11181,MR.,DEVIN,MARTIN,08-08-1943,M,M,devin.martinnobethanalytics.com,170000,2,Graduate Degree,Management,Y
11182,MRS.,STEPHANIE,TORRES,25-08-1944,S,F,stephanie.torresnobethanalytics.com,70000,4,Bachelors,Management,Y
11183,MRS.,JASMINE,LEE,15-07-1944,S,F,jasmine.leenobethanalytics.com,70000,4,Bachelors,Management,Y
11184,MRS.,MEGHAN,HERNANDEZ,16-11-1944,S,F,meghan.hernandeznobethanalytics.com,70000,4,Bachelors,Management,Y
11185,MRS.,ASHLEY,HENDERSON,08-10-1944,S,F,ashley.hendersonnobethanalytics.com,70000,4,Bachelors,Management,Y
11186,MRS.,SARAH,PRICE,21-05-1944,S,F,sarah.pricenobethanalytics.com,70000,4,Bachelors,Management,Y
11187,MRS.,JENNIFER,COOPER,22-02-1944,M,F,jennifer.coopernobethanalytics.com,60000,4,Graduate Degree,Management,Y
11188,MRS.,CATHERINE,MORRIS,06-09-1944,M,F,catherine.morrisnobethanalytics.com,60000,4,Graduate Degree,Management,N
11190,MR.,CARSON,BRYANT,22-06-1944,M,M,carson.bryantnobethanalytics.com,70000,5,Bachelors,Management,Y
11191,MRS.,KRISTI,PEREZ,18-12-1945,S,F,kristi.pereznobethanalytics.com,70000,5,Bachelors,Management,Y
11192,MR.,JAMES,BROWN,13-09-1945,M,M,james.brownnobethanalytics.com,60000,4,Bachelors,Management,Y
11193,MR.,IAN,GRAY,13-02-1945,M,M,ian.graynobethanalytics.com,60000,4,Bachelors,Management,Y
11194,MRS.,JACQUELINE,PRICE,10-06-1945,M,F,jacqueline.pricenobethanalytics.com,60000,4,Bachelors,Management,Y
11195,MRS.,MEGAN,HENDERSON,10-02-1946,M,F,megan.hendersonnobethanalytics.com,60000,5,Bachelors,Management,Y
11196,MR.,ALFREDO,ROMERO,07-06-1946,M,M,alfredo.romeronobethanalytics.com,60000,5,Bachelors,Management,Y
11197,MRS.,ANDREA,MORRIS,18-06-1946,M,F,andrea.morrisnobethanalytics.com,70000,3,Bachelors,Management,N
11198,MRS.,BROOKE,SANDERS,26-11-1946,S,F,brooke.sandersnobethanalytics.com,70000,4,Bachelors,Management,Y
11199,MRS.,JACQUELINE,BENNETT,06-11-1946,M,F,jacqueline.bennettnobethanalytics.com,70000,4,Bachelors,Management,Y
11200,MR.,JASON,GRIFFIN,22-11-1947,M,M,jason.griffinnobethanalytics.com,70000,4,Bachelors,Management,Y
11201,MRS.,AMANDA,FOSTER,18-08-1947,M,F,amanda.fosternobethanalytics.com,70000,4,Bachelors,Management,Y
11202,MRS.,ALEXIA,PRICE,26-08-1947,M,F,alexia.pricenobethanalytics.com,80000,5,Bachelors,Management,N
11203,MR.,LUIS,DIAZ,21-08-1948,M,M,luis.diaznobethanalytics.com,40000,2,High School,Professional,Y
11205,MRS.,ABBY,FERNANDEZ,24-07-1948,M,F,abby.fernandeznobethanalytics.com,40000,2,High School,Professional,Y
11206,MR.,BLAKE,FLORES,24-09-1948,M,M,blake.floresnobethanalytics.com,60000,2,Partial College,Professional,Y
11207,MRS.,DANIELLE,COX,19-07-1948,S,F,danielle.coxnobethanalytics.com,60000,2,Partial College,Professional,Y
11208,MRS.,MARIA,REED,04-02-1948,M,F,maria.reednobethanalytics.com,60000,2,Bachelors,Management,Y
11209,MRS.,ALLISON,EVANS,13-01-1948,M,F,allison.evansnobethanalytics.com,60000,2,Bachelors,Management,Y
11210,MR.,EDWARD,WOOD,08-06-1948,M,M,edward.woodnobethanalytics.com,70000,4,Partial College,Professional,Y
11211,MRS.,SAMANTHA,RUSSELL,12-10-1949,M,F,samantha.russellnobethanalytics.com,40000,2,High School,Professional,Y
11212,MRS.,CHLOE,CAMPBELL,05-11-1949,M,F,chloe.campbellnobethanalytics.com,40000,2,High School,Professional,Y
11213,MRS.,STEPHANIE,MURPHY,14-05-1949,S,F,stephanie.murphynobethanalytics.com,60000,2,Partial College,Professional,Y
11214,MR.,CHARLES,MILLER,07-11-1949,S,M,charles.millernobethanalytics.com,60000,2,Partial College,Professional,Y
11215,MRS.,ANA,PERRY,21-06-1950,M,F,ana.perrynobethanalytics.com,40000,2,Partial High School,Skilled Manual,Y
11216,MRS.,JASMINE,TORRES,20-05-1950,S,F,jasmine.torresnobethanalytics.com,60000,2,Partial College,Professional,Y
11217,MRS.,NATALIE,ADAMS,11-02-1950,S,F,natalie.adamsnobethanalytics.com,60000,2,Partial College,Professional,Y
11218,MRS.,OLIVIA,BROWN,11-09-1950,S,F,olivia.brownnobethanalytics.com,60000,2,Partial College,Professional,N
